satisfaction_level,last_evaluation,number_project,time_spend_company,left,promotion_last_5years,salary,work_accident,average_monthly_hours,department
0.94,0.97,5,5,0,0,1,1,197,9
0.55,0.81,3,2,0,0,1,0,242,9
0.79,0.59,3,2,0,0,1,0,145,8
0.91,0.9,4,3,0,0,1,0,174,8
0.82,0.99,3,2,0,0,0,0,195,8
0.84,0.94,4,3,0,0,1,1,270,8
0.72,0.68,4,3,0,0,1,0,238,8
0.68,0.85,4,2,0,0,1,0,156,8
0.99,0.96,5,3,0,0,0,0,261,8
0.74,0.85,5,2,0,0,1,0,135,8
0.8,0.41,6,4,0,0,2,0,185,8
0.55,0.55,3,3,0,0,0,0,197,8
0.56,0.95,3,3,0,0,2,0,241,8
0.88,0.98,3,3,0,0,0,1,263,9
0.86,0.49,4,2,0,0,2,0,251,9
0.64,0.95,3,2,0,0,2,0,218,9
0.82,0.58,4,3,0,0,2,0,183,4
0.66,0.8,4,3,0,0,2,0,252,0
0.64,0.95,3,3,0,0,2,0,98,0
0.17,0.78,6,4,0,0,2,0,284,0
0.75,0.68,4,2,0,0,2,0,220,0
0.45,0.39,4,3,0,0,2,0,275,0
0.99,0.9,4,3,0,0,0,0,164,6
0.93,0.67,5,4,0,0,1,0,237,6
0.88,0.8,3,3,0,0,2,0,133,6
0.62,0.52,5,4,0,0,2,0,256,6
0.94,0.88,4,3,0,0,2,0,270,0
0.59,0.92,4,2,0,0,2,0,196,1
0.93,0.89,4,2,0,0,2,0,209,1
0.71,0.39,3,3,0,0,2,0,261,1
0.6,0.6,3,2,0,0,2,0,221,1
0.71,0.69,4,3,0,0,2,1,180,1
0.91,0.57,4,3,0,0,2,0,145,5
0.78,0.96,4,2,0,0,0,0,111,7
0.52,0.63,4,3,0,0,1,0,232,2
0.99,0.7,5,3,0,0,1,0,195,8
0.86,0.51,4,2,0,0,1,1,211,9
0.74,0.68,4,2,0,0,0,0,194,4
0.15,0.84,4,5,0,0,1,0,275,5
0.57,0.54,3,3,0,0,1,0,140,5
0.67,0.6,3,3,0,0,1,0,157,5
0.8,0.93,4,3,0,0,0,0,258,7
0.83,0.82,5,4,0,0,1,0,273,7
0.69,0.53,3,2,0,0,1,0,135,7
0.64,0.83,3,4,0,0,1,0,188,7
0.95,0.52,5,2,0,0,1,0,222,7
0.97,0.52,4,3,0,0,1,0,231,7
0.85,0.86,3,2,0,0,1,0,255,7
0.72,0.51,3,2,0,0,1,0,254,7
0.91,0.85,3,3,0,0,2,1,244,7
0.81,0.83,3,4,0,0,2,0,132,7
0.13,0.67,5,6,0,0,2,0,234,7
0.95,0.81,4,3,0,0,2,0,272,7
0.82,0.54,4,3,0,0,2,0,191,7
0.63,0.93,4,4,0,0,2,0,238,7
0.55,0.69,3,2,0,0,2,0,225,7
0.83,0.95,3,2,0,0,2,0,211,7
0.54,0.98,3,3,0,0,2,0,217,7
0.89,0.91,5,4,0,0,2,0,156,7
0.79,0.55,3,3,0,0,2,0,147,7
0.56,0.73,4,3,0,0,2,0,134,2
0.89,0.7,4,2,0,0,0,1,235,2
1.0,0.66,4,4,0,0,1,0,238,2
0.43,0.72,3,4,0,0,2,0,258,3
0.71,0.55,5,3,0,0,2,0,224,3
0.98,0.59,4,2,0,0,2,0,149,3
0.81,0.7,4,2,0,0,2,1,219,3
0.71,0.53,3,2,0,0,1,0,186,9
0.99,0.6,4,4,0,0,1,0,259,9
0.34,0.62,3,2,0,0,1,0,119,9
0.58,0.91,3,2,0,0,1,0,223,9
0.77,0.49,4,3,0,0,1,0,184,9
0.64,0.5,3,4,0,0,1,0,238,9
0.13,1.0,4,5,0,0,1,1,157,9
0.98,0.6,2,3,0,0,1,0,249,9
0.72,0.84,4,2,0,0,1,0,195,9
0.55,0.79,3,2,0,0,1,0,162,9
0.62,0.91,4,3,0,0,1,0,231,9
0.74,0.91,2,3,0,0,1,0,264,8
0.69,0.96,3,3,0,0,1,0,210,8
0.6,0.63,4,3,0,0,1,0,192,8
0.54,0.43,3,2,0,0,1,0,192,8
0.56,0.75,4,3,0,0,1,0,249,8
0.58,0.86,5,3,0,0,1,0,206,8
0.21,0.66,4,5,0,0,1,0,165,8
0.52,0.85,5,3,0,0,1,0,183,8
0.98,0.7,4,2,0,0,1,0,253,8
0.85,0.97,3,3,0,0,1,0,256,8
0.62,0.88,2,4,0,0,2,0,263,8
0.63,0.61,3,3,0,0,2,1,234,9
0.84,0.97,6,2,0,0,2,0,223,9
0.71,0.69,2,3,0,0,2,0,172,9
0.36,0.55,6,6,0,0,2,0,226,4
0.79,0.56,6,4,0,0,2,1,205,0
0.59,0.55,4,2,0,0,2,0,235,0
0.5,0.53,4,3,0,0,2,0,263,0
0.88,0.66,4,3,0,0,2,1,271,0
0.65,0.69,6,5,0,0,2,0,131,0
0.71,0.56,4,4,0,0,2,0,238,6
0.89,0.54,3,2,0,0,2,0,214,6
0.83,0.84,3,3,0,0,0,0,267,6
0.73,0.53,3,2,0,0,1,0,184,6
0.71,0.67,3,3,0,0,2,0,264,0
0.53,0.66,3,2,0,0,2,0,109,1
0.74,0.7,3,4,0,0,2,1,253,1
0.6,0.52,4,2,0,0,2,1,207,1
0.47,0.6,4,5,0,0,1,0,263,1
0.88,0.88,3,2,0,0,1,1,214,1
0.62,0.67,2,3,0,0,1,0,153,5
0.24,0.48,5,5,0,0,1,1,123,7
0.15,0.36,5,2,0,0,1,0,159,2
0.92,0.82,3,3,0,0,1,0,185,8
0.74,0.7,4,3,0,0,1,1,167,9
0.86,0.77,3,3,0,0,1,0,271,4
0.96,0.61,3,3,0,0,1,0,140,5
0.54,0.6,4,3,0,0,1,0,141,5
0.99,0.87,4,2,0,0,1,0,190,5
0.72,0.73,5,2,0,0,1,0,134,7
0.96,0.75,5,4,0,0,1,0,176,7
0.73,0.73,4,2,0,0,1,0,194,7
0.67,0.44,5,4,0,0,1,0,212,7
0.58,0.72,5,3,0,0,1,1,234,7
0.9,0.99,4,2,0,0,1,0,190,7
0.99,0.37,5,3,0,0,1,0,155,7
0.89,0.58,4,2,0,0,1,0,232,7
0.72,0.95,4,3,0,0,1,0,216,7
0.77,0.8,3,3,0,0,1,0,207,7
0.8,0.94,4,4,0,0,2,0,200,7
0.89,0.86,3,4,0,0,2,0,178,7
0.59,0.81,4,2,0,0,2,0,173,7
0.24,0.87,5,5,0,0,2,0,268,7
0.94,0.59,6,2,0,0,2,0,212,7
0.74,0.5,4,3,0,0,2,0,216,7
0.63,0.62,5,6,0,0,2,0,212,7
0.63,0.59,3,3,0,0,2,1,155,7
0.77,0.65,4,2,0,0,2,0,164,7
0.87,0.74,3,3,0,0,2,0,209,2
0.79,0.61,4,3,0,0,2,0,136,2
0.54,0.84,4,3,0,0,2,0,223,2
0.59,0.83,4,4,0,0,0,0,239,3
0.86,0.87,3,4,0,0,1,0,205,3
0.98,0.68,3,3,0,0,2,0,203,3
1.0,0.79,5,4,0,0,2,0,152,3
0.9,0.79,4,3,0,0,2,1,236,9
0.34,0.6,4,3,0,0,2,0,114,9
0.95,0.93,3,2,0,0,1,0,209,9
0.79,0.48,4,2,0,0,1,0,178,9
0.13,0.91,4,5,0,0,1,0,175,9
0.72,0.69,3,4,0,0,1,0,270,9
0.63,0.54,3,2,0,0,1,1,145,9
0.81,0.76,5,2,0,0,1,0,134,9
0.71,0.75,4,4,0,0,1,0,272,9
0.49,0.76,3,2,0,0,1,0,208,9
0.59,0.65,4,3,0,0,1,1,219,9
0.87,0.59,5,3,0,0,1,0,154,8
0.66,0.6,3,4,0,0,1,0,179,8
0.78,0.92,5,2,0,0,1,0,137,8
0.65,0.7,4,2,0,0,1,0,211,8
0.8,0.97,5,4,0,0,1,0,271,8
0.56,0.75,4,2,0,0,1,0,192,8
0.85,0.67,4,4,0,0,1,0,228,8
0.14,0.46,2,6,0,0,1,1,267,8
0.74,0.62,4,2,0,0,1,0,272,8
0.86,0.93,2,2,0,0,1,0,260,8
0.71,0.96,4,3,0,0,1,0,161,8
0.83,0.99,4,2,0,0,1,0,226,9
0.52,0.49,4,4,0,0,2,1,249,9
0.63,0.8,3,3,0,0,2,0,243,9
0.92,0.93,4,2,0,0,2,0,247,4
0.66,0.87,3,2,0,0,2,0,186,0
0.77,0.7,3,3,0,0,2,0,155,0
0.74,0.97,2,4,0,0,2,0,135,0
0.81,0.76,5,4,0,0,2,0,198,0
0.67,0.55,3,2,0,0,2,0,175,0
0.75,0.92,3,3,0,0,2,0,192,6
0.65,0.36,2,3,0,0,2,0,282,6
0.81,0.6,4,3,0,0,2,0,179,6
0.57,0.77,4,3,0,0,2,0,245,6
0.89,0.66,4,3,0,0,0,0,235,0
0.5,0.56,4,2,0,0,1,0,266,1
0.21,0.42,4,4,0,0,2,1,269,1
0.79,0.67,3,2,0,0,2,0,264,1
0.66,0.57,3,2,0,0,2,1,161,1
0.82,0.95,3,3,0,0,2,0,203,1
0.85,0.85,4,2,0,0,1,0,258,5
0.72,0.96,3,3,0,0,1,0,143,7
0.52,0.92,3,3,0,0,1,0,214,2
0.5,0.62,4,3,0,0,1,1,166,8
0.52,0.82,3,3,0,0,1,0,192,9
0.13,0.87,3,4,0,0,1,1,185,4
0.87,0.98,4,3,0,0,1,0,173,5
0.53,0.98,2,3,0,0,1,0,163,5
0.15,0.76,5,4,0,0,1,0,277,5
0.64,0.86,5,2,0,0,1,1,274,7
0.52,0.44,3,2,0,0,1,0,119,7
0.79,0.67,4,3,0,0,1,0,267,7
0.74,0.89,3,2,0,0,1,0,160,7
0.81,0.84,4,2,0,0,1,0,198,7
0.94,0.6,3,3,0,0,1,0,193,7
0.67,0.84,6,2,0,0,1,0,250,7
0.93,0.84,3,4,0,0,1,1,237,7
0.52,0.96,4,2,0,0,1,0,170,7
0.48,0.74,2,2,0,0,2,1,157,7
0.57,0.92,6,4,0,0,2,0,267,7
0.71,0.77,4,4,0,0,2,0,192,7
0.9,0.74,4,2,0,0,2,1,218,7
0.58,0.61,4,3,0,0,2,0,210,7
0.66,0.48,4,4,0,0,2,0,229,7
0.59,0.66,3,3,0,0,2,0,186,7
0.96,0.5,3,2,0,0,2,1,234,7
0.13,0.91,2,5,0,0,2,0,149,7
0.93,0.92,3,3,0,0,2,0,205,7
0.54,0.72,3,4,0,0,2,0,148,2
0.54,0.77,5,3,0,0,2,0,270,2
0.87,0.62,3,3,0,0,0,0,176,2
0.79,0.91,3,2,0,0,1,0,226,3
0.83,0.57,3,4,0,0,2,0,232,3
0.73,0.6,3,3,0,0,2,0,137,3
0.29,0.42,6,3,0,0,2,0,253,3
0.8,0.7,6,4,0,0,2,0,231,9
0.29,0.81,3,6,0,0,1,0,189,9
0.43,0.85,6,2,0,0,1,0,168,9
0.99,0.93,3,3,0,0,1,0,261,9
0.86,0.51,4,3,0,0,1,0,152,9
0.85,0.78,5,2,0,0,1,1,263,9
0.66,0.68,3,3,0,0,1,0,258,9
0.57,0.99,3,3,0,0,1,0,205,9
0.31,0.64,6,2,0,0,1,1,183,9
0.88,0.88,3,3,0,0,1,0,153,9
0.72,0.72,5,4,0,0,1,0,194,9
0.75,0.66,4,2,0,0,1,0,202,8
0.82,0.71,4,4,0,0,1,0,164,8
0.82,0.67,3,2,0,0,1,0,213,8
0.15,0.52,4,6,0,0,1,0,265,8
0.16,0.88,6,3,0,0,1,0,218,8
0.95,0.4,5,4,0,0,1,0,286,8
0.87,0.73,3,3,0,0,1,1,172,8
0.85,0.89,4,2,0,0,1,0,251,8
0.58,0.6,3,3,0,0,1,1,110,8
0.63,0.86,3,4,0,0,1,0,269,8
0.69,0.68,3,3,0,0,1,1,151,8
0.53,0.85,5,2,0,0,2,0,161,9
0.96,0.71,4,3,0,0,2,0,210,9
0.73,0.83,2,3,0,0,2,0,167,9
0.5,0.6,3,3,0,0,2,1,270,4
0.81,0.83,3,3,0,0,2,1,133,0
0.82,0.59,3,3,0,0,2,0,249,0
0.76,0.72,4,3,0,0,2,0,266,0
0.27,0.82,4,2,0,0,2,0,276,0
0.64,0.38,6,3,0,0,2,0,215,0
0.57,0.9,3,2,0,0,2,0,262,6
0.49,0.84,5,3,0,0,2,0,193,6
0.66,0.92,2,4,0,0,2,0,102,6
0.71,0.36,4,4,0,0,0,1,278,6
0.61,0.63,3,4,0,0,1,0,250,0
0.52,0.89,5,4,0,0,2,0,193,1
0.62,0.91,3,3,0,0,2,0,133,1
0.98,0.65,4,4,0,0,2,0,216,1
0.67,0.56,5,2,0,0,2,1,174,1
0.85,0.62,2,4,0,0,1,0,280,1
0.84,0.85,4,2,0,0,1,0,246,5
1.0,0.53,3,3,0,0,1,0,142,7
0.72,0.76,4,3,0,0,1,1,144,2
0.66,0.75,6,4,0,0,1,1,100,8
0.64,0.71,5,2,0,0,1,0,212,9
1.0,0.76,5,3,0,0,1,0,201,4
0.75,0.59,5,2,0,0,1,0,206,5
0.81,0.77,4,3,0,0,1,0,197,5
0.31,0.98,5,5,0,0,1,0,232,5
0.32,0.97,6,2,0,0,1,0,272,7
0.48,0.5,4,3,0,0,1,0,173,7
0.62,0.42,2,2,0,0,1,0,124,7
0.77,0.86,5,4,0,0,1,0,282,7
0.76,0.8,2,4,0,0,1,1,219,7
0.68,0.41,3,6,0,0,1,0,106,7
0.72,0.79,4,4,0,0,1,0,192,7
0.87,0.91,5,2,0,0,1,0,190,7
0.59,0.57,2,2,0,0,1,0,156,7
0.7,0.64,3,2,0,0,1,0,180,7
0.73,0.81,4,2,0,0,1,0,245,7
0.58,0.62,3,2,0,0,2,0,169,7
0.64,0.66,3,4,0,0,2,0,188,7
0.89,0.66,5,2,0,0,2,0,224,7
0.95,0.71,3,2,0,0,2,1,263,7
0.84,0.9,3,2,0,0,2,0,262,7
0.6,0.99,4,3,0,0,2,0,225,7
0.71,0.63,5,3,0,0,2,1,224,7
0.6,0.95,3,3,0,0,2,0,266,7
0.91,0.68,3,3,0,0,2,1,218,2
0.75,1.0,3,3,0,0,2,0,102,2
0.7,0.67,4,3,0,0,2,0,181,2
0.23,0.64,5,5,0,0,2,0,150,3
0.73,0.83,4,2,0,0,0,0,270,3
0.99,0.49,4,2,0,0,1,0,270,3
0.62,0.68,5,3,0,0,2,0,265,3
0.98,0.89,4,3,0,0,2,0,169,9
0.61,0.94,3,4,0,0,2,0,224,9
0.52,0.92,3,2,0,0,2,1,150,9
0.65,0.66,5,4,0,0,1,0,239,9
0.59,0.9,3,3,0,0,1,1,245,9
0.71,0.8,3,2,0,0,1,1,182,9
0.18,0.7,5,4,0,0,1,0,182,9
0.21,0.93,4,4,0,0,1,0,243,9
0.15,0.67,6,5,0,0,1,0,209,9
0.97,0.53,4,4,0,0,1,0,195,9
0.39,0.48,3,2,0,0,1,0,190,9
0.35,0.66,2,2,0,0,2,0,140,8
0.88,0.58,4,4,0,0,2,0,147,8
0.58,0.97,3,3,0,0,2,0,265,8
0.61,0.78,3,2,0,0,2,0,238,8
0.59,0.98,3,3,0,0,2,0,155,8
0.55,0.41,4,5,0,0,2,1,132,8
0.52,0.8,5,3,0,0,2,0,257,8
0.71,0.77,2,3,0,0,2,0,255,8
0.63,0.82,5,2,0,0,2,0,229,8
0.17,0.84,5,4,0,0,2,0,216,8
0.95,0.49,4,4,0,0,2,0,269,8
1.0,0.73,3,2,0,0,2,0,205,9
0.73,0.96,2,3,0,0,2,0,151,9
0.8,0.64,4,3,0,0,2,1,246,9
0.63,0.8,4,4,0,0,2,0,256,4
0.95,0.59,4,3,0,0,2,0,235,0
0.75,0.83,4,2,0,0,2,0,229,0
0.64,0.72,5,3,0,0,2,0,158,0
0.72,1.0,3,3,0,0,2,0,197,0
0.72,0.53,3,4,0,0,2,0,151,0
0.85,0.63,3,3,0,0,2,0,167,6
0.24,0.94,4,4,0,0,2,0,146,6
0.69,0.53,4,4,0,0,2,0,281,6
0.69,0.7,3,2,0,0,2,0,212,6
0.87,0.59,5,3,0,0,2,0,261,0
0.78,0.91,3,2,0,0,0,0,238,1
0.76,0.74,4,3,0,0,0,0,235,1
0.35,0.7,3,3,0,0,0,0,107,1
0.88,0.59,6,4,0,0,0,0,243,1
0.78,0.79,5,3,0,0,0,1,233,1
0.36,0.42,3,5,0,0,0,0,206,5
0.24,0.7,5,4,0,0,0,0,172,7
0.55,0.82,3,2,0,0,0,0,248,2
0.91,0.53,3,4,0,0,0,1,147,8
0.66,0.61,5,3,0,0,0,0,259,9
0.57,0.82,3,3,0,0,0,0,267,4
0.64,0.64,3,3,0,0,0,0,263,5
0.63,0.98,3,4,0,0,1,1,160,5
0.49,0.92,5,3,0,0,1,0,176,5
0.7,0.7,3,3,0,0,1,0,224,7
0.3,0.71,3,2,0,0,1,0,155,7
0.51,0.52,3,3,0,0,1,0,132,7
0.71,0.87,5,3,0,0,1,0,173,7
0.64,0.67,3,3,0,0,1,0,165,7
0.67,0.66,6,3,0,0,1,0,272,7
0.83,0.94,5,3,0,0,1,1,156,7
0.92,0.96,3,2,0,0,1,1,154,7
0.84,0.53,3,3,0,0,1,1,237,7
0.97,0.75,2,6,0,0,1,0,271,7
0.19,0.91,6,3,0,0,1,0,152,7
0.86,0.51,4,3,0,0,1,1,152,7
0.71,0.69,3,3,0,0,1,0,172,7
0.76,0.56,4,2,0,0,2,1,214,7
0.68,0.88,5,3,0,0,2,0,201,7
0.61,0.99,2,3,0,0,2,1,275,7
0.85,0.79,3,3,0,0,2,0,156,7
0.84,0.89,3,2,0,0,2,0,234,7
0.62,0.63,2,2,0,0,2,0,123,7
0.77,0.76,3,4,0,0,2,0,201,2
0.79,0.93,5,4,0,0,2,1,160,2
0.97,0.5,3,2,0,0,2,0,173,2
0.59,0.61,4,2,0,0,2,1,141,3
0.93,0.62,3,6,0,0,2,0,231,3
0.85,0.54,4,2,0,0,2,0,174,3
0.7,0.57,4,3,0,0,0,0,211,3
0.54,0.91,3,3,0,0,0,0,249,9
0.42,0.86,2,5,0,0,0,0,108,9
0.96,0.75,4,3,0,0,0,0,165,9
0.58,0.8,3,4,0,0,0,0,181,9
0.61,0.59,3,2,0,0,0,0,237,9
0.62,0.97,5,2,0,0,0,0,180,9
0.68,0.7,3,3,0,0,0,0,209,9
0.6,0.73,3,5,0,0,1,1,191,9
0.7,0.91,4,2,0,0,1,1,181,9
0.65,0.55,4,2,0,0,1,0,250,9
0.48,0.59,2,2,0,0,1,0,179,9
0.75,0.73,3,4,0,0,1,0,225,8
0.69,0.78,5,2,0,0,1,1,267,8
0.34,0.46,2,2,0,0,1,1,169,8
0.59,0.49,4,3,0,0,1,0,164,8
0.94,0.95,4,3,0,0,2,0,155,8
0.98,0.77,5,2,0,0,2,1,223,8
0.72,0.66,3,3,0,0,2,0,160,8
0.79,0.7,4,2,0,0,2,0,268,8
0.54,0.61,4,4,0,0,2,1,151,8
0.73,0.95,3,2,0,0,2,0,156,8
0.82,0.58,4,3,0,0,2,0,136,8
0.57,0.45,3,2,0,0,2,0,189,9
0.98,0.93,5,2,0,0,2,0,203,9
0.91,0.65,5,2,0,0,2,0,174,9
0.72,0.91,3,2,0,0,2,0,239,4
0.48,0.73,5,6,0,0,2,0,152,0
0.57,0.86,4,6,0,0,2,0,268,0
0.86,0.96,4,3,0,0,2,0,146,0
0.63,0.85,3,4,0,0,2,0,232,0
0.81,0.52,3,5,0,0,2,0,255,0
0.21,0.37,4,4,0,0,2,0,129,6
0.9,0.66,3,3,0,0,2,1,261,6
0.79,0.78,3,2,0,0,2,1,101,6
0.95,0.49,4,3,0,0,2,0,229,6
0.29,0.43,3,4,0,0,2,0,162,0
0.81,0.52,4,3,0,0,2,0,270,1
0.21,0.56,6,5,0,0,2,0,277,1
0.7,0.83,5,4,0,0,0,0,261,1
0.66,0.64,4,2,0,0,1,0,204,1
0.16,0.86,2,2,0,0,2,0,215,1
0.72,0.8,3,3,0,0,2,0,219,5
0.51,0.5,3,4,0,0,2,0,147,7
0.59,0.63,5,2,0,0,2,0,243,2
0.66,0.4,2,5,0,0,2,1,155,8
0.69,0.84,3,2,0,0,2,0,253,9
0.69,0.94,4,3,0,0,2,0,235,4
0.89,0.79,5,3,0,0,2,0,257,5
0.52,0.56,4,2,0,0,2,0,225,5
0.91,0.91,3,3,0,0,2,0,167,5
0.96,0.53,5,4,0,0,1,0,224,7
0.8,0.58,5,3,0,0,1,0,127,7
0.55,0.77,3,3,0,0,1,1,256,7
0.93,0.63,4,2,0,0,1,0,233,7
0.93,0.86,4,4,0,0,1,0,169,7
0.54,0.48,3,2,0,0,1,0,152,7
0.48,0.76,5,2,0,0,1,0,236,7
0.19,0.99,3,2,0,0,0,0,154,7
0.95,0.71,3,2,0,0,1,0,223,7
0.96,0.81,4,3,0,0,0,0,211,7
0.63,0.89,4,2,0,0,0,0,192,7
0.81,0.8,4,2,0,0,1,1,227,7
0.5,0.88,4,3,0,0,1,1,265,7
0.76,0.72,5,2,0,0,0,0,228,7
0.84,0.49,4,3,0,0,1,0,152,7
0.2,0.95,5,5,0,0,2,0,169,7
0.78,0.92,3,3,0,0,0,0,169,7
0.8,0.68,4,3,0,0,2,0,157,7
0.94,0.57,4,2,0,0,2,1,251,7
0.44,0.74,5,2,0,0,2,0,253,2
0.92,0.85,3,2,0,0,2,0,155,2
0.54,0.8,3,2,0,0,0,0,232,2
0.56,0.56,4,2,0,0,2,0,195,3
0.66,0.69,4,3,0,0,2,1,198,3
0.8,0.91,3,3,0,0,2,0,246,3
0.6,0.81,2,3,0,0,0,0,214,3
0.73,0.73,5,3,0,0,2,0,249,9
0.55,0.74,3,3,0,0,0,1,211,9
0.7,0.71,5,3,0,0,1,0,269,9
0.53,0.68,4,3,0,0,2,0,214,9
0.9,0.94,4,3,0,0,2,0,231,9
0.8,0.78,3,3,0,0,2,0,175,9
0.51,0.6,5,3,0,0,2,0,175,9
0.86,0.96,5,5,0,0,1,0,238,9
0.63,0.79,4,4,0,0,1,0,228,9
0.83,0.93,3,4,0,0,1,0,220,9
0.85,0.55,4,2,0,0,1,1,233,9
0.8,0.57,3,4,0,0,1,0,225,8
0.79,0.97,5,3,0,0,1,0,187,8
0.37,0.71,3,3,0,0,1,0,117,8
0.85,0.9,3,3,0,0,1,1,184,8
0.76,0.56,3,3,0,0,1,0,216,8
0.99,0.62,4,2,0,0,1,1,140,8
0.55,0.63,3,2,0,0,0,1,201,8
0.69,0.69,4,3,0,0,1,1,167,8
0.68,1.0,5,2,0,0,1,0,203,8
0.69,0.9,5,2,0,0,1,1,231,8
0.65,0.7,3,4,0,0,1,0,141,8
0.17,0.88,6,3,0,0,0,1,226,9
0.48,0.65,3,2,0,0,1,0,199,9
0.65,0.59,4,3,0,0,1,0,192,9
0.57,0.49,4,2,0,0,1,0,247,4
0.8,0.67,3,3,0,0,0,0,164,0
0.8,0.6,5,2,0,0,1,0,234,0
0.5,0.6,2,3,0,0,2,1,177,0
0.95,0.87,3,2,0,0,0,0,208,0
0.69,0.93,3,3,0,0,2,0,233,0
0.74,0.57,4,3,0,0,0,0,172,6
0.68,0.59,3,3,0,0,2,0,141,6
0.68,0.55,3,3,0,0,2,0,213,6
0.65,0.37,5,3,0,0,2,1,128,6
0.85,0.92,4,3,0,0,2,1,151,0
0.49,0.48,4,3,0,0,2,0,247,1
0.19,0.8,6,4,0,0,2,0,143,1
0.95,0.61,3,3,0,0,2,0,164,1
0.63,0.62,3,3,0,0,2,0,183,1
0.83,0.8,4,3,0,0,0,0,274,1
0.62,0.78,4,2,0,0,1,0,261,5
0.74,0.98,5,3,0,0,2,0,200,7
0.7,0.87,5,2,0,0,2,0,177,2
0.28,0.38,5,4,0,0,2,0,139,8
0.39,0.56,6,5,0,0,2,0,228,9
0.62,0.63,3,2,0,0,2,0,230,4
0.79,0.54,5,4,0,0,2,0,212,5
0.87,0.74,4,4,0,0,2,0,265,5
0.29,0.75,3,4,0,0,2,0,124,5
0.37,0.88,4,3,0,0,2,0,155,7
0.68,0.55,4,4,0,0,0,0,215,7
0.9,0.51,4,2,0,0,1,0,214,7
0.97,0.65,3,3,0,0,1,0,181,7
0.6,0.77,4,2,0,0,1,0,229,7
0.58,0.79,5,2,0,0,0,0,262,7
0.83,0.86,3,3,0,0,1,0,165,7
0.83,0.73,5,3,0,0,1,0,136,7
0.94,0.71,4,2,0,0,1,1,151,7
0.69,0.9,5,4,0,0,0,0,226,7
0.81,0.81,5,2,0,0,1,0,215,7
0.19,0.5,6,5,0,0,1,1,143,7
0.18,0.64,3,4,0,0,1,1,223,7
0.58,0.63,4,3,0,0,1,0,271,7
0.76,0.65,3,3,0,0,1,0,220,7
0.26,0.47,6,4,0,0,1,0,182,7
0.78,0.87,3,3,0,0,1,0,190,7
0.71,0.56,3,3,0,0,2,0,198,7
0.76,0.61,3,2,0,0,2,0,141,7
0.44,0.81,3,2,0,0,2,0,248,2
0.26,0.69,2,5,0,0,2,0,168,2
0.75,0.57,5,3,0,0,2,0,162,2
0.64,0.9,4,3,0,0,2,0,211,3
0.79,0.71,4,3,0,0,2,0,271,3
0.96,0.61,3,2,0,0,2,0,271,3
0.63,1.0,5,2,0,0,2,0,244,3
0.65,0.55,5,3,0,0,2,1,261,9
0.76,0.81,3,3,0,0,2,0,225,9
0.26,0.9,4,5,0,0,2,0,266,9
0.84,0.73,3,5,0,0,0,1,146,9
0.74,0.77,3,3,0,0,1,0,233,9
0.53,0.45,4,3,0,0,2,0,180,9
0.7,0.56,5,3,0,0,2,0,208,9
0.62,0.69,4,4,0,0,2,1,165,9
0.71,0.68,4,4,0,0,2,0,221,9
0.5,0.65,3,2,0,0,1,0,215,9
0.53,0.5,6,6,0,0,1,0,264,9
0.88,0.89,2,4,0,0,1,0,160,8
0.79,0.83,2,3,0,0,1,0,192,8
0.69,0.89,5,2,0,0,1,0,201,8
0.57,0.96,4,2,0,0,1,0,264,8
0.68,0.8,4,3,0,0,1,1,186,8
0.6,0.82,4,3,0,0,1,0,272,8
0.7,0.9,4,3,0,0,1,0,216,8
0.71,0.76,4,2,0,0,1,1,142,8
0.49,0.51,4,3,0,0,1,0,133,8
0.74,0.7,4,2,0,0,1,0,260,8
0.2,0.93,4,5,0,0,1,0,101,8
0.57,0.5,4,2,0,0,1,0,230,9
0.83,0.48,3,4,0,0,1,0,242,9
0.22,0.64,3,2,0,0,1,0,193,9
0.67,0.57,2,4,0,0,1,0,234,4
0.54,0.84,3,3,0,0,1,0,132,0
0.54,0.53,4,3,0,0,1,0,183,0
0.64,0.61,4,4,0,0,1,0,191,0
0.23,0.84,5,4,0,0,1,0,140,0
0.88,0.87,5,3,0,0,2,0,257,0
0.83,0.54,4,3,0,0,2,0,219,6
0.88,0.67,5,2,0,0,2,0,141,6
0.9,0.85,5,2,0,0,2,0,162,6
0.49,0.61,3,3,0,0,2,0,181,6
0.55,0.49,3,3,0,0,2,0,191,0
0.92,0.69,4,6,0,0,2,1,149,1
0.72,0.67,3,4,0,0,2,0,164,1
0.63,0.5,4,3,0,0,2,0,235,1
0.98,0.66,3,3,0,0,2,0,199,1
0.76,0.52,3,3,0,0,2,0,248,1
0.42,0.56,2,3,0,0,2,1,103,5
0.58,0.65,4,4,0,0,0,0,248,5
0.85,0.82,3,3,0,0,1,1,153,7
0.67,0.95,4,4,0,0,2,0,241,2
0.58,1.0,4,3,0,0,2,0,258,8
0.84,0.76,5,5,0,0,2,1,172,9
0.56,0.68,3,2,0,0,2,0,149,4
0.63,0.83,4,3,0,0,1,0,217,5
0.51,0.92,3,3,0,0,1,0,243,5
0.95,0.81,5,3,0,0,1,0,120,5
0.85,0.55,3,3,0,0,1,1,137,7
0.73,0.78,5,3,0,0,1,0,150,7
0.2,0.49,5,5,0,0,1,0,199,7
0.78,0.79,3,2,0,0,1,0,203,7
0.83,0.8,3,3,0,0,1,0,273,7
0.87,0.56,2,3,0,0,1,1,214,7
0.98,0.99,5,3,0,0,1,0,141,7
